"Committee Name","Name","Congresses","committee_type"
"Agriculture","CAIN, Richard Harvey","43rd (1873–1875)","House Standing Committees"
"Agriculture","SMALLS, Robert","44th (1875–1877); 47th (1881–1883)","House Standing Committees"
"Agriculture","CHEATHAM, Henry Plummer","52nd (1891–1893)","House Standing Committees"
"Agriculture","WHITE, George Henry","55th (1897–1899) – 56th (1899–1901)","House Standing Committees"
"Agriculture","ESPY, Alphonso Michael (Mike)","100th (1987–1989) – 102nd (1991–1993)","House Standing Committees"
"Agriculture","BISHOP, Sanford Dixon, Jr.","103rd (1993–1995) – 107th (2001–2003)","House Standing Committees"
"Agriculture","CLAYTON, Eva M.","103rd (1993–1995) – 107th (2001–2003)","House Standing Committees"
"Agriculture","HILLIARD, Earl Frederick","103rd (1993–1995) – 107th (2001–2003)","House Standing Committees"
"Agriculture","MCKINNEY, Cynthia Ann","103rd (1993–1995) – 104th (1995–1997)","House Standing Committees"
"Agriculture","THOMPSON, Bennie","103rd (1993–1995) – 108th (2003–2005)","House Standing Committees"
"Agriculture","BALLANCE, Frank W., Jr.","108th (2003–2005)","House Standing Committees"
"Agriculture","BUTTERFIELD, George Kenneth (G.K.), Jr.","108th (2003–2005) – 109th (2005–2007)","House Standing Committees"
"Agriculture","SCOTT, David","108th (2003–2005) – 110th (2007–2009); 112th (2011–2013) – 117th (2021–2023)","House Standing Committees"
"Agriculture","FUDGE, Marcia L.","112th (2011–2013) – 116th (2019–2021)","House Standing Committees"
"Agriculture","SEWELL, Terri","112th (2011–2013)","House Standing Committees"
"Agriculture","ADAMS, Alma","114th (2015–2017) – 116th (2019–2021)","House Standing Committees"
"Agriculture","PLASKETT, Stacey E.","114th (2015–2017) – 116th (2019–2021)","House Standing Committees"
"Agriculture","BLUNT ROCHESTER, Lisa","115th (2017–2019)","House Standing Committees"
"Agriculture","EVANS, Dwight","115th (2017–2019)","House Standing Committees"
"Agriculture","LAWSON, Alfred, Jr.","115th (2017–2019) – 116th (2019–2021)","House Standing Committees"
"Agriculture","DELGADO, Antonio","116th (2019–2021)","House Standing Committees"
"Agriculture","HAYES, Jahana","116th (2019–2021)","House Standing Committees"
"Appropriations","STOKES, Louis","92nd (1971–1973) – 105th (1997–1999)","House Standing Committees"
"Appropriations","BURKE, Yvonne Brathwaite","94th (1975–1977) – 95th (1977–1979)","House Standing Committees"
"Appropriations","DIXON, Julian Carey","96th (1979–1981) – 106th (1999–2001)","House Standing Committees"
"Appropriations","STEWART, Bennett McVey","96th (1979–1981)","House Standing Committees"
"Appropriations","GRAY, William Herbert, III","97th (1981–1983) – 102nd (1991–1993)","House Standing Committees"
"Appropriations","MEEK, Carrie P.","103rd (1993–1995); 105th (1997–1999) – 107th (2001–2003)","House Standing Committees"
"Appropriations","CLYBURN, James Enos","106th (1999–2001) – 109th (2005–2007)","House Standing Committees"
