Congress,Name,State or Territory,Party,Service,url,img,Footnote
41st (1869-1871),"LONG, Jefferson Franklin",GA,Republican,House,https://history.house.gov/People/Detail/17115,https://historycms2.house.gov/uploadedImages/People/Listing/L/L000419.jpg,
41st (1869-1871),"RAINEY, Joseph Hayne",SC,Republican,House,https://history.house.gov/People/Detail/20095,https://historycms2.house.gov/uploadedImages/People/Listing/R/R000016.jpg,
42nd (1871-1873),"RAINEY, Joseph Hayne",SC,Republican,House,https://history.house.gov/People/Detail/20095,https://historycms2.house.gov/uploadedImages/People/Listing/R/R000016.jpg,
43rd (1873-1875),"RAINEY, Joseph Hayne",SC,Republican,House,https://history.house.gov/People/Detail/20095,https://historycms2.house.gov/uploadedImages/People/Listing/R/R000016.jpg,
44th (1875-1877),"RAINEY, Joseph Hayne",SC,Republican,House,https://history.house.gov/People/Detail/20095,https://historycms2.house.gov/uploadedImages/People/Listing/R/R000016.jpg,
45th (1877-1879),"RAINEY, Joseph Hayne",SC,Republican,House,https://history.house.gov/People/Detail/20095,https://historycms2.house.gov/uploadedImages/People/Listing/R/R000016.jpg,
41st (1869-1871),"REVELS, Hiram Rhodes",MS,Republican,Senate,https://history.house.gov/People/Detail/20291,https://historycms2.house.gov/uploadedImages/People/Listing/R/R000166.jpg,
42nd (1871-1873),"DE LARGE, Robert Carlos",SC,Republican,House,https://history.house.gov/People/Detail/12090,https://historycms2.house.gov/uploadedImages/People/Listing/D/D000208.jpg,
42nd (1871-1873),"ELLIOTT, Robert Brown",SC,Republican,House,https://history.house.gov/People/Detail/12753,https://historycms2.house.gov/uploadedImages/People/Listing/E/E000128.jpg,
43rd (1873-1875),"ELLIOTT, Robert Brown",SC,Republican,House,https://history.house.gov/People/Detail/12753,https://historycms2.house.gov/uploadedImages/People/Listing/E/E000128.jpg,
42nd (1871-1873),"TURNER, Benjamin Sterling",AL,Republican,House,https://history.house.gov/People/Detail/23140,https://historycms2.house.gov/uploadedImages/People/Listing/T/T000414.jpg,
